JD,mag,error,Phase
94.0,,,0.8571428571428577
95.0,,,0.14285714285714235
96.0,,,0.42857142857142705
97.0,,,0.7142857142857153
98.0,,,0.0
99.0,,,0.2857142857142847
100.0,,,0.571428571428573
101.0,,,0.8571428571428577
102.0,,,0.14285714285714235
103.0,,,0.42857142857142705
104.0,,,0.7142857142857153
105.0,,,0.0
106.0,,,0.2857142857142847
107.0,,,0.571428571428573
108.0,,,0.8571428571428577
109.0,,,0.14285714285714235
110.0,,,0.42857142857142705
111.0,,,0.7142857142857153
112.0,,,0.0
113.0,,,0.2857142857142847
114.0,,,0.5714285714285694
115.0,,,0.8571428571428541
116.0,,,0.1428571428571459
117.0,,,0.4285714285714306
118.0,,,0.7142857142857153
119.0,,,0.0
120.0,,,0.2857142857142847
121.0,,,0.5714285714285694
122.0,,,0.8571428571428541
123.0,,,0.1428571428571459
124.0,,,0.4285714285714306
125.0,,,0.7142857142857153
126.0,,,0.0
127.0,,,0.2857142857142847
128.0,,,0.5714285714285694
129.0,,,0.8571428571428541
130.0,,,0.1428571428571459
131.0,,,0.4285714285714306
132.0,,,0.7142857142857153
133.0,,,0.0
134.0,,,0.2857142857142847
135.0,,,0.5714285714285694
136.0,,,0.8571428571428541
137.0,,,0.1428571428571459
138.0,,,0.4285714285714306
139.0,,,0.7142857142857153
140.0,,,0.0
141.0,,,0.2857142857142847
142.0,,,0.5714285714285694
143.0,,,0.8571428571428541
144.0,,,0.1428571428571459
145.0,,,0.4285714285714306
146.0,,,0.7142857142857153
147.0,,,0.0
148.0,,,0.2857142857142847
149.0,,,0.5714285714285694
150.0,,,0.8571428571428541
151.0,,,0.1428571428571459
152.0,,,0.4285714285714306
153.0,,,0.7142857142857153
154.0,,,0.0
155.0,,,0.2857142857142847
156.0,,,0.5714285714285694
157.0,,,0.8571428571428541
158.0,,,0.1428571428571459
159.0,,,0.4285714285714306
160.0,,,0.7142857142857153
161.0,,,0.0
162.0,,,0.2857142857142847
163.0,,,0.5714285714285694
164.0,,,0.8571428571428541
165.0,,,0.1428571428571459
166.0,,,0.4285714285714306
167.0,,,0.7142857142857153
168.0,,,0.0
169.0,,,0.2857142857142847
170.0,,,0.5714285714285694
171.0,,,0.8571428571428541
172.0,,,0.1428571428571459
173.0,,,0.4285714285714306
174.0,,,0.7142857142857153
175.0,,,0.0
176.0,,,0.2857142857142847
177.0,,,0.5714285714285694
178.0,,,0.8571428571428541
179.0,,,0.1428571428571459
180.0,,,0.4285714285714306
181.0,,,0.7142857142857153
182.0,,,0.0
183.0,,,0.2857142857142847
184.0,,,0.5714285714285694
185.0,,,0.8571428571428541
186.0,,,0.1428571428571459
187.0,,,0.4285714285714306
188.0,,,0.7142857142857153
189.0,,,0.0
190.0,,,0.2857142857142847
191.0,,,0.5714285714285694
192.0,,,0.8571428571428541
193.0,,,0.1428571428571459
194.0,,,0.4285714285714306
195.0,,,0.7142857142857153
196.0,,,0.0
197.0,,,0.2857142857142847
198.0,,,0.5714285714285694
199.0,,,0.8571428571428541
200.0,,,0.1428571428571459
201.0,,,0.4285714285714306
202.0,,,0.7142857142857153
203.0,,,0.0
204.0,,,0.2857142857142847
205.0,,,0.5714285714285694
206.0,,,0.8571428571428541
207.0,,,0.1428571428571459
208.0,,,0.4285714285714306
209.0,,,0.7142857142857153
210.0,,,0.0
211.0,,,0.2857142857142847
212.0,,,0.5714285714285694
213.0,,,0.8571428571428541
214.0,,,0.1428571428571459
215.0,,,0.4285714285714306
216.0,,,0.7142857142857153
217.0,,,0.0
218.0,,,0.2857142857142847
219.0,,,0.5714285714285694
220.0,,,0.8571428571428541
221.0,,,0.1428571428571459
222.0,,,0.4285714285714306
223.0,,,0.7142857142857153
224.0,,,0.0
225.0,,,0.2857142857142918
226.0,,,0.5714285714285694
227.0,,,0.8571428571428612
228.0,,,0.1428571428571388
229.0,,,0.4285714285714306
230.0,,,0.7142857142857082
231.0,,,0.0
232.0,,,0.2857142857142918
233.0,,,0.5714285714285694
234.0,,,0.8571428571428612
235.0,,,0.1428571428571388
236.0,,,0.4285714285714306
237.0,,,0.7142857142857082
238.0,,,0.0
239.0,,,0.2857142857142918
